"time","amount"
"07:22:03",1894.0000000000002
"08:26:08",1617.0000000000002
"07:18:09",1334
"08:07:03",1131
"08:48:40",1060
"08:28:55",1017
"07:41:59",1009
"08:51:41",748
"07:17:21",100
"07:15:18",23.13
"07:17:14",20.71
"08:16:54",20.44
"07:16:04",19.86
"08:42:02",19.5
"08:30:28",19.49
"08:08:27",19.34
"08:56:59",19.33
"07:39:47",19.27
"07:30:56",19.02
"08:21:10",18.98
"07:44:24",18.93
"08:51:29",18.93
"07:29:28",18.82
"07:45:48",18.76
"08:42:50",18.72
"07:28:48",18.6
"07:12:06",18.56
"08:38:49",18.54
"07:08:08",18.53
"08:27:00",18.52
"07:33:19",18.48
"07:00:32",18.35
"08:54:19",18.3
"07:55:21",18.14
"08:37:24",17.85
"07:36:42",17.8
"08:32:38",17.78
"07:08:11",17.73
"08:46:29",17.56
"08:18:50",17.54
"08:58:13",17.53
"08:36:46",17.48
"07:44:39",17.47
"08:02:04",17.36
"07:02:38",17.13
"07:31:57",17.03
"07:18:34",16.85
"07:02:33",16.85
"08:18:49",16.65
"07:20:28",16.64
"07:34:15",16.58
"07:25:42",16.38
"07:36:02",16.36
"08:41:53",16.35
"08:49:34",16.28
"08:10:36",16.21
"07:55:27",16.16
"08:26:52",16.07
"08:35:35",15.98
"07:16:54",15.98
"07:57:39",15.96
"08:00:22",15.94
"07:08:04",15.94
"07:05:42",15.37
"07:33:54",15.21
"08:36:58",15.15
"08:23:37",15.1
"08:20:40",15.05
"08:27:59",15.04
"07:52:23",14.94
"07:42:50",14.92
"07:18:20",14.8
"07:13:49",14.42
"08:34:15",14.36
"07:41:49",14.3
"07:41:56",13.83
"07:27:55",13.59
"08:52:09",13.53
"08:08:38",13.52
"07:31:20",13.46
"07:40:00",12.98
"08:04:44",12.98
"08:12:28",12.96
"07:31:03",12.67
"08:36:23",12.52
"08:49:16",12.5
"08:52:20",12.32
"08:11:55",12.25
"08:50:36",12.17
"08:35:34",11.96
"07:44:59",11.93
"07:56:09",11.91
"07:25:30",11.88
"08:22:17",11.87
"08:46:49",11.86
"07:06:20",11.73
"08:33:49",11.72
"07:45:28",11.7
"07:37:03",11.68
"08:21:59",11.65
